Date,Inflation_Rate,Producer_Price_Index,Personal_Consumption_Expenditure,Export,Import,Customer_Price_Index,Global_Price_Brent_Crude,Trade_Weighted_Dollar,Total_Bitcoin,Bitcoin_Est_Transaction_Vol_USD,Bitcoin_market_Cap,Bitcoin_trade_Vol_VS_Transaction_Vol
8/1/10,1.68,184.9,101.713,123,125.7,192.287,76.6932,87.286,3730840.323,706.9032,132631.8711,2.0717
9/1/10,1.74,184.9,101.807,123.7,125.7,193.316,77.7868,86.341,4007311.667,1870.8667,266101.2099,6.5662
10/1/10,2.01,186.6,102.045,124.7,127.1,196.845,82.9181,83.957,4286888.71,7634.5484,528679.1502,4.0119
11/1/10,2.09,187.7,102.211,126.6,129.2,198.783,85.67,84,4599968.333,15075.1333,1316536.83,3.2033
12/1/10,2.25,189.7,102.455,127.5,131,202.454,91.7965,84.623,4891006.452,7199.0645,1246496.211,9.2187
1/1/11,2.33,192.7,102.685,129.1,133,204.232,96.2943,83.596,5151070.968,22474.5161,2082163.367,9.7029
2/1/11,2.34,195.8,102.966,130.8,135.3,205.704,103.9555,83.007,5413630.357,45928.2857,5256989.492,4.6234
3/1/11,2.45,199.2,103.356,132.7,139.3,209.591,114.4413,82.304,5686916.129,64245.2581,4979164.118,14.9624
4/1/11,2.6,203.1,103.808,133.8,142.9,213.032,123.1505,81.015,5930068.333,257616.4,8448799.331,10.9135
5/1/11,2.39,204.1,104.144,134.3,143.1,214.499,114.4582,81.036,6226032.258,1011537.903,42484063.15,5.2186
6/1/11,2.24,203.9,104.179,134.5,142.2,212.957,113.7577,80.828,6555663.333,3542049.9,130498491.2,16.6732
7/1/11,2.38,204.6,104.38,134,142.4,213.661,116.46,80.263,6830269.355,952585,100120553.2,2.4427
8/1/11,2.16,203.2,104.618,134.6,141.9,214.651,110.0813,80.821,7063246.774,1078463.903,76482803.61,2.9107
9/1/11,1.9,203.7,104.787,135.3,141.7,215.455,110.8791,83.207,7277521.667,637408.7,46091081.58,2.2412
10/1/11,1.96,201.1,104.851,132.6,141.2,214.682,109.4686,83.757,7476114.516,347642.6774,28668136.16,1.9989
11/1/11,2.01,201.4,104.999,132.7,142.2,215.149,110.5041,84.273,7673178.333,2587273.233,21638577.4,14.5072
12/1/11,2.01,199.8,105.018,132.1,142.2,213.784,107.97,84.951,7889682.258,3197488.581,28995820.05,16.9613
1/1/12,2.08,200.7,105.325,132.5,142.2,215.55,110.9936,84.302,8123441.935,751663.0645,52365622.53,1.3317
2/1/12,2.22,201.6,105.56,133.1,142.2,217.87,119.7024,83.042,8348168.966,773889.069,44183630.76,1.8362
3/1/12,2.31,204.2,105.804,134.1,144.2,218.921,124.9286,83.411,8573272.581,607474.3226,42995546.11,2.5714
4/1/12,2.26,203.7,105.943,134.7,144.1,219.135,120.591,83.617,8793916.667,843908.9333,44495567.41,3.6312
5/1/12,2.14,201.9,105.868,134,142,215.11,110.5217,84.803,9017529.032,1010752.742,46300683.25,5.3042
6/1/12,2.12,199.8,105.844,131.7,138.7,212.048,95.589,85.892,9238085,1258797.8,56867274.19,5.4434
7/1/12,2.13,200.1,105.88,132.2,137.7,211.156,103.1409,85.343,9468570.968,1789416.323,77788284.53,4.8227
8/1/12,2.27,202.7,106.238,133.4,139.4,217.105,113.34,84.825,9710629.032,2767809.548,111730769.2,3.937
9/1/12,2.43,204.4,106.576,134.5,140.8,221.348,113.3825,83.697,9950988.333,2840503.633,117262157.1,8.6624
10/1/12,2.5,203.5,106.886,134.6,141.2,223.021,111.9735,83.503,10180193.55,2648674.871,121633957.9,7.4648
11/1/12,2.42,201.8,106.768,133.8,140.2,219.062,109.7118,83.791,10407340,2122968.1,121589584.7,7.5271
12/1/12,2.48,201.5,106.758,133.6,139.4,217.859,109.64,83.088,10561301.61,2473172.903,142725886.2,7.4856
1/1/13,2.52,202.5,106.956,134.1,140.1,218.056,112.9287,82.947,10670117.74,3883409.097,171891264.6,5.9387
2/1/13,2.55,204.3,107.365,135.1,141.3,223.526,116.455,83.827,10782901.79,6803102.25,287435027.8,5.3348
3/1/13,2.55,204,107.232,134.4,141.2,219.321,109.24,84.213,10907835.48,14368205.94,653872591.7,4.792
4/1/13,2.41,203.5,107.138,133.6,140.2,215.287,102.8755,83.635,11039193.33,38575189.93,1452878704,2.6814
5/1/13,2.29,204.1,107.185,132.9,139.4,213.962,103.027,83.904,11161754.84,23487296.74,1344762294,5.2075
6/1/13,2.05,204.3,107.366,132.8,138.8,214.833,103.11,84.517,11292795.83,16613671.57,1205349959,6.8153
7/1/13,2.12,204.4,107.48,132.6,138.9,215.739,107.7161,84.937,11422212.9,21183430.06,1034673731,9.3831
8/1/13,2.19,204.2,107.633,131.9,139.4,216.658,110.9645,84.863,11562301.61,17749927.19,1255120511,15.5801
9/1/13,2.15,203.9,107.762,132.4,139.8,217.325,111.6214,84.576,11706248.33,18633861.3,1464421131,15.9748
10/1/13,2.19,202.5,107.914,131.6,138.9,217.344,109.4787,83.64,11852711.29,29272152.77,1846934311,12.6111
11/1/13,2.17,201.2,108.078,131.8,137.7,217.823,108.0762,84.298,11996620.83,158486041.2,6774640540,9.9417
12/1/13,2.16,202,108.275,132.3,137.8,219.504,110.6336,84.477,12131897.58,137233077.1,9501772079,9.0163
1/1/14,2.23,203.8,108.518,132.7,138.3,220.068,107.5704,85.268,12270110.48,85137762.06,10105939592,8.2504
2/1/14,2.16,205.7,108.582,133.7,139.8,218.736,108.812,85.388,12398858.93,75142839.36,8160596656,6.6622
3/1/14,2.16,207,108.764,134.9,140.5,216.96,107.4057,85.24,12522763.71,114193970.9,7405965403,16.6056
4/1/14,2.17,208.3,109.005,133.5,139.7,219.211,107.8755,84.872,12652137.5,48603727.33,5829784035,8.4208
5/1/14,2.19,208,109.151,133.7,140.1,217.645,109.6759,84.491,12777120.16,48424156.1,6315915576,11.8341
6/1/14,2.23,208.3,109.243,133,140.5,217.455,111.8681,84.526,12903256.67,61180443.4,7907530361,14.0801
7/1/14,2.26,208,109.39,133.1,140.1,216.867,106.9826,84.285,13026403.23,47972354.03,8046452914,17.2927
8/1/14,2.2,207,109.378,132.4,139,215.31,101.9224,84.911,13149082.26,54100561.87,7020623542,13.9989
9/1/14,2.07,206.4,109.506,131.9,137.9,215.634,97.3364,86.175,13273895.83,48321773.73,5864435334,11.8451
10/1/14,1.92,203.4,109.541,130.7,136,214.941,87.2696,87.206,13390464.52,53598717,4844022202,10.3297
11/1/14,1.88,200.9,109.468,129.5,133.5,211.663,78.438,88.487,13505452.5,63635949.27,4972105975,13.9619
12/1/14,1.7,197,109.255,128.3,130.1,205.423,62.163,90.214,13614932.26,60189299.03,4643173497,22.5101
1/1/15,1.61,192,108.802,126.1,126,195.914,48.4168,91.726,13730201.67,56495045.13,3392121460,10.4179
2/1/15,1.72,191.1,108.972,125.9,125.5,197.08,57.9305,92.809,13838861.61,40298761.11,3234940907,17.1701
3/1/15,1.76,191.5,109.162,125.9,125.3,198.574,55.7914,94.386,13947554.84,51359951.35,3739480828,23.7315
4/1/15,1.86,190.9,109.252,125.1,125.1,198.396,59.3895,93.486,14058370,40927062.43,3297900765,22.9596
