Date,Total_Bitcoin,Bitcoin_Est_Transaction_Vol_USD,Bitcoin_market_Cap,Bitcoin_trade_Vol_VS_Transaction_Vol
2016-10-25,15947150,207336575.3,10445223779,0
2016-10-24,15945362.5,104494840.8,10504485908,0
2016-10-23,15943562.5,127614330.1,10587003807,0
2016-10-22,15941700,158295045,10128718512,0
2016-10-21,15939650,183925044.7,10085494745,0
2016-10-20,15937975,154515407.9,10065628111,0
2016-10-19,15936412.5,216932535.9,10183048859,0
2016-10-18,15934475,162800543.7,10182607559,0
2016-10-17,15932912.5,118023531.2,10264938207,0
2016-10-16,15931287.5,129633563.7,10189651485,0
2016-10-15,15929512.5,152633388.5,10216074252,0
2016-10-14,15927812.5,165694238.8,10152546966,0
2016-10-13,15926212.5,291240400.9,10152323420,0
2016-10-12,15924412.5,194960089.5,10207866901,0
2016-10-11,15922675,147286256.4,9854065877,0
2016-10-10,15921125,118494680.5,9802318240,0
2016-10-09,15919125,132635392,9881956035,0
2016-10-08,15917012.5,143894359.7,9867115219,0
2016-10-07,15915225,147862058.6,9772903064,0
2016-10-06,15913212.5,149242509.6,9762755869,0
2016-10-05,15911125,168434258.2,9718674261,0
2016-10-04,15909150,153303975.3,9750081669,0
2016-10-03,15907262.5,98603245.04,9698339801,0
2016-10-02,15905500,103778194.3,9767249440,0
2016-10-01,15903537.5,153295465.5,9716425271,0
2016-09-30,15901762.5,154115925.8,9631379511,0
2016-09-29,15899975,150481350,9610103890,0
2016-09-28,15898125,147525117.8,9602149538,0
2016-09-27,15896037.5,151722294.1,9682117481,0
2016-09-26,15894125,153681855.5,9541084296,0
2016-09-25,15891812.5,101454030.9,9583875364,0
2016-09-24,15889737.5,144015257.5,9592952324,0
2016-09-23,15888037.5,118467306.4,9481980780,0
2016-09-22,15886275,152507128.5,9500151313,0
2016-09-21,15884200,148383128.5,9683802530,0
2016-09-20,15882312.5,134760154.4,9679951823,0
2016-09-19,15880650,101804671.5,9751671939,0
2016-09-18,15878837.5,92793982.27,9658620486,0
2016-09-17,15876800,114444424.4,9687705824,0
2016-09-16,15875062.5,123313922.9,9723634532,0
2016-09-15,15873137.5,134490737.6,9744519111,0
2016-09-14,15871187.5,145930431.2,9743639430,0
2016-09-13,15869125,131334047.5,9696828831,0
