"","Tot_BC","BC_Est_Trans_USD","BCMC","BC_Trade_vs_Trans"
"1",47217.2413793103,0,0,0
"30",215867.857142857,0,0,0
"58",383608.064516129,0,0,0
"89",556385,0,0,0
"119",731303.225806452,0,0,0
"150",865606.666666667,0,0,0
"180",978933.870967742,0,0,0
"211",1060033.87096774,0,0,0
"242",1149771.66666667,0,0,0
"272",1258656.4516129,0,0,0
"303",1363338.33333333,0,0,0
"333",1511432.25806452,0,0,0
"364",1748595.16129032,0,0,0
"395",2019382.14285714,0,0,0
"423",2282116.12903226,0,0,0
"454",2557881.66666667,0,0,0
"484",2811679.03225806,0,0,0
"515",3058158.33333333,0,0,0
"545",3384222.58064516,0,0,0
"576",3730840.32258065,706.903225806452,132631.871093548,2.07171432987097
"607",4007311.66666667,1870.86666666667,266101.209896667,6.56624563066667
"637",4286888.70967742,7634.54838709677,528679.150232258,4.01189584664516
"668",4599968.33333333,15075.1333333333,1316536.83043333,3.20328916083333
"698",4891006.4516129,7199.06451612903,1246496.21109677,9.21873205548387
"729",5151070.96774194,22474.5161290323,2082163.36745161,9.70285552474194
"760",5413630.35714286,45928.2857142857,5256989.49242857,4.62342009403571
"788",5686916.12903226,64245.2580645161,4979164.11764516,14.9623662986129
"819",5930068.33333333,257616.4,8448799.3313,10.9134810601667
"849",6226032.25806452,1011537.90322581,42484063.1503226,5.21861603683871
"880",6555663.33333333,3542049.9,130498491.24,16.6731681225
"910",6830269.35483871,952585,100120553.231613,2.44271076606452
"941",7063246.77419355,1078463.90322581,76482803.6067742,2.91074408154839
"972",7277521.66666667,637408.7,46091081.5783333,2.2411797523
"1002",7476114.51612903,347642.677419355,28668136.1635484,1.998924109
"1033",7673178.33333333,2587273.23333333,21638577.397,14.5071924369333
"1063",7889682.25806452,3197488.58064516,28995820.0541935,16.9612674762903
"1094",8123441.93548387,751663.064516129,52365622.5329032,1.33170197032258
"1125",8348168.96551724,773889.068965517,44183630.762069,1.83618013034483
"1154",8573272.58064516,607474.322580645,42995546.1141936,2.57135108948387
"1185",8793916.66666667,843908.933333333,44495567.4136667,3.63117564326667
"1215",9017529.03225807,1010752.74193548,46300683.2548387,5.30419540509677
"1246",9238085,1258797.8,56867274.192,5.4433923798
"1276",9468570.96774193,1789416.32258065,77788284.5345161,4.82265984793548
"1307",9710629.03225807,2767809.5483871,111730769.222581,3.93701564506452
"1338",9950988.33333333,2840503.63333333,117262157.066667,8.66241288323333
"1368",10180193.5483871,2648674.87096774,121633957.874194,7.46480849706452
"1399",10407340,2122968.1,121589584.69,7.52710733803333
"1429",10561301.6129032,2473172.90322581,142725886.196774,7.48562218683871
"1460",10670117.7419355,3883409.09677419,171891264.567742,5.93871520941935
"1491",10782901.7857143,6803102.25,287435027.75,5.33476166446429
"1519",10907835.483871,14368205.9354839,653872591.674194,4.79195428222581
"1550",11039193.3333333,38575189.9333333,1452878704.29667,2.6813714902
"1580",11161754.8387097,23487296.7419355,1344762294.35484,5.20747844867742
"1611",11292795.8333333,16613671.5666667,1205349959.13333,6.8152873762
"1641",11422212.9032258,21183430.0645161,1034673731.42581,9.38311241787097
"1672",11562301.6129032,17749927.1935484,1255120511.22581,15.5800510759677
"1703",11706248.3333333,18633861.3,1464421131.1,15.9748311777667
"1733",11852711.2903226,29272152.7741935,1846934310.6129,12.6111224368387
"1764",11996620.8333333,158486041.2,6774640539.7,9.94165487583333
"1794",12131897.5806452,137233077.096774,9501772079.3871,9.01626374741936
"1825",12270110.483871,85137762.0645161,10105939592.0645,8.25044302422581
"1856",12398858.9285714,75142839.3571429,8160596656.25,6.66220907821429
"1884",12522763.7096774,114193970.870968,7405965403.09677,16.6056383495806
"1915",12652137.5,48603727.3333333,5829784034.56667,8.42078932483333
"1945",12777120.1612903,48424156.0967742,6315915576.16129,11.8340624900968
"1976",12903256.6666667,61180443.4,7907530361.4,14.0800710775333
"2006",13026403.2258065,47972354.0322581,8046452914.48387,17.2926702319677
"2037",13149082.2580645,54100561.8709677,7020623542.45161,13.9988528135484
"2068",13273895.8333333,48321773.7333333,5864435334.4,11.8451250348
"2098",13390464.516129,53598717,4844022202.48387,10.3296509928065
"2129",13505452.5,63635949.2666667,4972105975.03333,13.9619378756667
"2159",13614932.2580645,60189299.0322581,4643173497.35484,22.5100768680645
"2190",13730201.6666667,56495045.1333333,3392121460.23333,10.4178872702
"2220",13838861.6071429,40298761.1071429,3234940907.21429,17.1700673050357
"2248",13947554.8387097,51359951.3548387,3739480828.29032,23.7314698712903
"2279",14058370,40927062.4333333,3297900765.46667,22.9595502726667
"2309",14167525,40915792.8709677,3359689806.87097,28.5647640177419
"2340",14278025.8333333,54427675.7666667,3388145711.8,35.322596753
"2370",14389993.5483871,63261277,4027832620.41935,19.63380303
"2401",14502216.1290323,68513874.4193548,3678156311.93548,25.570804708
"2432",14614616.6666667,60455165.7,3415806690.4,14.2570414549333
"2462",14728354.0322581,82363026.8387097,3886317364.48387,14.1647650309677
"2493",14841400,151373453.766667,5154538819.03333,22.3371109723
"2523",14963434.6774194,164489303.645161,6288339261.51613,33.1025108129032
"2554",15086157.2580645,103520581.290323,6224547680.12903,35.4135398106452
"2585",15208368.9655172,132238332.310345,6091391049.37931,50.2429971193103
"2614",15319547.5806452,134145476.677419,6374761181.83871,68.86368637
"2645",15433508.3333333,127707266.69,6680920895.73333,79.7436976446667
"2675",15548069.3548387,150538137.411613,7122149722.06452,81.5526005554839
"2706",15660285.8333333,218575299.64,9987075012.03333,40.578303996
"2736",15758566.9354839,167166913.732258,10459768545.5484,31.0447980132258
"2767",15817068.9516129,150933409.729355,9225792977.48387,0
"2798",15873948.3333333,134139756.136333,9641033448.46667,0
"2828",15925735.5,155397197.2456,10038299890.28,0
