"Date","Time","Open","High","Low","Close","Vol","OI","%Chg","HiAlert","LoAlert"
05/31/2013,16:30,83.00,83.60,83.00,83.38,0,0,0.00,0.00,0.00
06/03/2013,16:30,83.28,83.38,82.43,82.66,0,0,0.00,0.00,0.00
06/04/2013,16:30,82.65,82.98,82.60,82.77,0,0,0.00,0.00,0.00
06/05/2013,16:30,82.75,82.89,82.49,82.59,0,0,0.00,0.00,0.00
06/06/2013,16:30,82.53,82.68,81.08,81.54,0,0,0.00,0.00,0.00
06/07/2013,16:30,81.54,81.85,81.09,81.67,0,0,0.00,0.00,0.00
06/10/2013,16:30,81.82,82.09,81.60,81.65,0,0,0.00,0.00,0.00
06/11/2013,16:30,81.68,81.75,81.03,81.11,0,0,0.00,0.00,0.00
06/12/2013,16:30,81.10,81.31,80.75,80.95,0,0,0.00,0.00,0.00
06/13/2013,16:30,80.98,80.99,80.50,80.75,0,0,0.00,0.00,0.00
06/14/2013,16:30,80.69,81.01,80.59,80.67,0,0,0.00,0.00,0.00
06/17/2013,16:30,80.62,80.88,80.53,80.79,0,0,0.00,0.00,0.00
06/18/2013,16:30,80.63,80.99,80.56,80.61,0,0,-3.65,0.00,0.00
06/19/2013,16:30,80.66,81.50,80.50,81.43,0,0,-1.94,0.00,0.00
06/20/2013,16:30,81.32,82.14,81.27,81.92,0,0,-1.75,0.00,0.00
06/21/2013,16:30,81.78,82.52,81.60,82.32,0,0,-0.41,0.00,0.00
06/24/2013,16:30,82.53,82.84,82.31,82.43,0,0,-0.41,0.00,0.00
06/25/2013,16:30,82.46,82.72,82.24,82.58,0,0,-0.01,0.00,0.00
06/26/2013,16:30,82.61,83.03,82.51,82.98,0,0,1.77,0.00,0.00
06/27/2013,16:30,82.93,83.17,82.77,82.90,0,0,1.51,0.00,0.00
06/28/2013,16:30,82.96,83.34,82.75,83.14,0,0,1.82,0.00,0.00
07/01/2013,16:30,83.18,83.23,82.97,83.05,0,0,2.39,0.00,0.00
07/02/2013,16:30,82.97,83.61,82.97,83.54,0,0,3.20,0.00,0.00
07/03/2013,16:30,83.55,83.72,83.09,83.20,0,0,3.03,0.00,0.00
07/04/2013,16:30,83.21,83.91,83.15,83.75,0,0,3.82,0.00,0.00
07/05/2013,16:30,83.75,84.53,83.75,84.43,0,0,4.51,0.00,0.00
07/08/2013,16:30,84.53,84.59,84.15,84.19,0,0,4.44,0.00,0.00
07/09/2013,16:30,84.21,84.75,84.08,84.58,0,0,3.87,0.00,0.00
07/10/2013,16:30,84.62,84.73,83.47,84.04,0,0,2.59,0.00,0.00
07/11/2013,16:30,83.44,83.44,82.42,82.75,0,0,0.52,0.00,0.00
07/12/2013,16:30,82.75,83.24,82.72,82.99,0,0,0.68,0.00,0.00
07/15/2013,16:30,82.92,83.46,82.88,83.04,0,0,0.56,0.00,0.00
07/16/2013,16:30,83.09,83.11,82.39,82.50,0,0,-0.58,0.00,0.00
07/17/2013,16:30,82.50,82.89,82.34,82.71,0,0,-0.23,0.00,0.00
07/18/2013,16:30,82.63,83.03,82.62,82.82,0,0,-0.38,0.00,0.00
07/19/2013,16:30,82.77,82.94,82.52,82.61,0,0,-0.53,0.00,0.00
